Year,Office,Committee Name
2013.0,Council At-Large,Bonds for Council
2013.0,Council At-Large,Capozzi for City Council
2013.0,Council At-Large,Committee to Elect Diallo Brooks
2013.0,Council At-Large,"Committee to Elect John F. Settles, II"
2013.0,Council At-Large,Committee to Elect Jon Gann
2013.0,Council At-Large,Committee to Elect Paul Zukerberg
2013.0,Council At-Large,Cooper At-Large
2013.0,Council At-Large,Elissa 2013
2013.0,Council At-Large,Frumin At-Large
2013.0,Council At-Large,Mara 2013
2013.0,Council At-Large,Michael Brown 2013
2013.0,Council At-Large,The Committee to Elect Perry Redd
