,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
0,Carlos Allen ,Carlos Allen for Mayor,Individual,6/11/2010,15,2010.0,Mayor
1,David Catania ,Catania 2010,Corporate Sponsored PAC,3/9/2010,1,2010.0,Council At-Large
2,David Catania ,Catania 2010,Corporate Sponsored PAC,3/7/2010,1,2010.0,Council At-Large
3,David Catania ,Catania 2010,Corporate Sponsored PAC,3/7/2010,541.08,2010.0,Council At-Large
4,David Catania ,Catania 2010,Corporate Sponsored PAC,3/9/2010,1,2010.0,Council At-Large
5,David Catania ,Catania 2010,Business,2/4/2010,1,2010.0,Council At-Large
6,David Catania ,Catania 2010,Business,2/4/2010,1,2010.0,Council At-Large
7,David Catania ,Catania 2010,Business,2/8/2010,1,2010.0,Council At-Large
8,David Catania ,Catania 2010,Individual,2/5/2010,2,2010.0,Council At-Large
9,David Catania ,Catania 2010,Individual,2/6/2010,5,2010.0,Council At-Large
10,David Catania ,Catania 2010,Individual,2/7/2010,5,2010.0,Council At-Large
11,David Catania ,Catania 2010,Individual,2/8/2010,1,2010.0,Council At-Large
12,David Catania ,Catania 2010,Individual,2/5/2010,1,2010.0,Council At-Large
13,David Catania ,Catania 2010,Business,2/5/2010,1,2010.0,Council At-Large
14,David Catania ,Catania 2010,Individual,2/8/2010,5,2010.0,Council At-Large
15,David Catania ,Catania 2010,Individual,2/5/2010,1,2010.0,Council At-Large
16,David Catania ,Catania 2010,Business,2/5/2010,1,2010.0,Council At-Large
17,David Catania ,Catania 2010,Individual,2/5/2010,1,2010.0,Council At-Large
18,David Catania ,Catania 2010,Individual,2/5/2010,1,2010.0,Council At-Large
19,David Catania ,Catania 2010,Individual,2/9/2010,25,2010.0,Council At-Large
20,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
21,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
22,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
23,David Catania ,Catania 2010,Individual,2/17/2010,25,2010.0,Council At-Large
24,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
25,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
26,David Catania ,Catania 2010,Individual,2/17/2010,2,2010.0,Council At-Large
27,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
28,David Catania ,Catania 2010,Individual,2/17/2010,5,2010.0,Council At-Large
29,David Catania ,Catania 2010,Individual,2/17/2010,1,2010.0,Council At-Large
30,David Catania ,Catania 2010,Individual,10/25/2010,1,2010.0,Council At-Large
31,David Catania ,Catania 2010,Individual,10/25/2010,1,2010.0,Council At-Large
32,David Catania ,Catania 2010,Individual,10/25/2010,2,2010.0,Council At-Large
33,David Catania ,Catania 2010,Individual,10/26/2010,1,2010.0,Council At-Large
34,David Catania ,Catania 2010,Individual,10/26/2010,5,2010.0,Council At-Large
