Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Election Year,Office
Jauhar Abraham ,Abraham for Ward 8,Candidate,11/17/2011,100.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Candidate,8/1/2012,100.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Candidate,10/5/2012,1800.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Candidate,10/10/2012,1500.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Candidate,9/7/2012,1375.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Candidate,10/12/2012,1100.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,50.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,8/31/2012,100.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,10/5/2012,350.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/4/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,25.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,10/9/2012,100.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/4/2012,15.0,2012.0,Council Ward 8
Jauhar Abraham ,Abraham for Ward 8,Individual,9/7/2012,20.0,2012.0,Council Ward 8
A.J  Cooper ,AJ Cooper at large,Individual,9/27/2012,540.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/7/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/9/2012,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/29/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/29/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/27/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/26/2012,20.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/10/2012,30.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/16/2012,1000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/6/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/16/2012,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/13/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/19/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/25/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,12/20/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/12/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/12/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,9/11/2012,300.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/7/2012,10.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/7/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/6/2012,1000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/30/2012,250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/29/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/28/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/28/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/27/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/24/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/23/2012,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/30/2012,5.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/2/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/4/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/4/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,10/5/2012,50.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,9/18/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Business,9/19/2012,1000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,32.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/17/2012,5.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,8/16/2012,30.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/6/2012,1000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Individual,9/14/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,6/29/2012,25.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,12/6/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,11/30/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,11/11/2012,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,12/7/2012,1250.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,1/11/2013,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,12/23/2012,200.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,3/25/2013,3000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,3/22/2013,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,7/17/2013,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,6/25/2013,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,2/22/2013,100.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,1/24/2014,2000.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,1/15/2014,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,10/21/2013,500.0,2012.0,Council At-Large
A.J  Cooper ,AJ Cooper at large,Candidate,8/23/2013,500.0,2012.0,Council At-Large
